Respondent,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,WebFrameWorkedWith,WebFrameDesireNextYear,DevEnviron,OpSys,Containers,BlockchainOrg,BlockchainIs
3013,TypeScript,,,Microsoft SQL Server,,Kubernetes,,,Visual Studio Code,,,,
3013,,,,PostgreSQL,,Microsoft Azure,,,,,,,
3016,C,C,SQLite,SQLite,iOS,iOS,,,Sublime Text,,,,
3016,C++,C++,,,MacOS,MacOS,,,Visual Studio Code,,,,
3016,Objective-C,Objective-C,,,,,,,Xcode,,,,
3016,Swift,Swift,,,,,,,,,,,
3016,TypeScript,,,,,,,,,,,,
3017,Bash/Shell/PowerShell,JavaScript,PostgreSQL,PostgreSQL,,,React.js,React.js,Visual Studio Code,,,,
3017,JavaScript,Scala,,Redis,,,,,,,,,
3017,TypeScript,TypeScript,,,,,,,,,,,
3018,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,Elasticsearch,Heroku,AWS,Angular/Angular.js,Angular/Angular.js,Vim,,,,
3018,C#,C++,Microsoft SQL Server,Microsoft SQL Server,WordPress,Docker,ASP.NET,ASP.NET,Visual Studio,,,,
3018,HTML/CSS,C#,Oracle,PostgreSQL,,Microsoft Azure,Express,React.js,Visual Studio Code,,,,
3018,Java,Go,,Redis,,,jQuery,Vue.js,,,,,
3018,JavaScript,HTML/CSS,,,,,,,,,,,
3018,PHP,JavaScript,,,,,,,,,,,
3018,Python,Python,,,,,,,,,,,
3018,SQL,SQL,,,,,,,,,,,
3018,TypeScript,TypeScript,,,,,,,,,,,
3018,,WebAssembly,,,,,,,,,,,
3019,HTML/CSS,HTML/CSS,MongoDB,MongoDB,Android,Android,Django,Django,Android Studio,,,,
3019,JavaScript,JavaScript,Microsoft SQL Server,Microsoft SQL Server,Docker,Docker,Flask,Drupal,IntelliJ,,,,
3019,Kotlin,Python,MySQL,PostgreSQL,Google Cloud Platform,Google Cloud Platform,jQuery,Flask,PyCharm,,,,
3019,Python,Scala,PostgreSQL,Redis,Linux,iOS,,React.js,Sublime Text,,,,
3019,Scala,SQL,Redis,,Windows,Kubernetes,,Ruby on Rails,Vim,,,,
3019,SQL,,SQLite,,WordPress,Linux,,Vue.js,,,,,
3019,TypeScript,,,,,MacOS,,,,,,,
3022,C,HTML/CSS,MySQL,MySQL,Heroku,Android,ASP.NET,ASP.NET,NetBeans,,,,
3022,C++,JavaScript,Redis,,Linux,iOS,jQuery,jQuery,Visual Studio Code,,,,
3022,C#,PHP,SQLite,,MacOS,Linux,,,,,,,
3022,HTML/CSS,Ruby,,,Windows,MacOS,,,,,,,
3022,JavaScript,SQL,,,WordPress,Windows,,,,,,,
3022,PHP,,,,,WordPress,,,,,,,
3022,SQL,,,,,,,,,,,,
3023,Assembly,C++,MySQL,PostgreSQL,Windows,AWS,React.js,,PHPStorm,,,,
3023,C,Erlang,PostgreSQL,Redis,,Docker,,,,,,,
3023,C++,F#,Redis,,,Windows,,,,,,,
3023,C#,Java,,,,,,,,,,,
3023,HTML/CSS,Python,,,,,,,,,,,
3023,JavaScript,R,,,,,,,,,,,
3023,Python,Rust,,,,,,,,,,,
3023,TypeScript,Scala,,,,,,,,,,,
3023,,TypeScript,,,,,,,,,,,
3025,Dart,JavaScript,Firebase,Firebase,Android,Android,Angular/Angular.js,Drupal,Android Studio,,,,
3025,HTML/CSS,TypeScript,MariaDB,MariaDB,AWS,WordPress,Drupal,Express,PHPStorm,,,,
3025,JavaScript,,MongoDB,MongoDB,Docker,,Express,React.js,Visual Studio Code,,,,
3025,PHP,,MySQL,,Heroku,,React.js,Vue.js,,,,,
3025,,,SQLite,,WordPress,,Vue.js,,,,,,
3026,JavaScript,JavaScript,MariaDB,Elasticsearch,Linux,Arduino,Express,Angular/Angular.js,Eclipse,,,,
3026,PHP,PHP,MongoDB,MariaDB,Windows,Docker,jQuery,Express,Notepad++,,,,
3026,SQL,Python,MySQL,MySQL,WordPress,Linux,,Vue.js,Visual Studio Code,,,,
3026,TypeScript,SQL,PostgreSQL,PostgreSQL,,Windows,,,,,,,
3026,,TypeScript,,,,,,,,,,,
3030,Java,Java,MySQL,MongoDB,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio,,,,
3030,,JavaScript,Oracle,MySQL,Google Cloud Platform,AWS,,,Eclipse,,,,
3030,,Kotlin,SQLite,Oracle,Linux,Google Cloud Platform,,,Notepad++,,,,
3030,,,,SQLite,MacOS,Linux,,,Sublime Text,,,,
3030,,,,,Windows,MacOS,,,Visual Studio Code,,,,
3030,,,,,,Windows,,,,,,,
3032,C#,C#,Microsoft SQL Server,,iOS,iOS,,,Visual Studio,,,,
3032,Ruby,Swift,MySQL,,MacOS,MacOS,,,Xcode,,,,
3032,Swift,,PostgreSQL,,,,,,,,,,
3033,Go,Java,MySQL,PostgreSQL,AWS,AWS,Spring,Spring,Emacs,,,,
3033,Java,Kotlin,,,Docker,Docker,,,IntelliJ,,,,
3033,Python,Python,,,Linux,Linux,,,Visual Studio Code,,,,
3033,Other(s):,Scala,,,MacOS,MacOS,,,Xcode,,,,
3033,,Other(s):,,,,Microsoft Azure,,,,,,,
3036,Bash/Shell/PowerShell,C#,PostgreSQL,Elasticsearch,AWS,AWS,Django,Django,PyCharm,,,,
3036,HTML/CSS,Go,Redis,MongoDB,Heroku,Docker,Flask,Flask,Sublime Text,,,,
3036,JavaScript,JavaScript,SQLite,PostgreSQL,Linux,Kubernetes,React.js,React.js,Visual Studio Code,,,,
3036,Python,Python,,Redis,,Linux,,Ruby on Rails,,,,,
3036,SQL,Ruby,,,,,,,,,,,
3036,,TypeScript,,,,,,,,,,,
3037,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,Microsoft SQL Server,Docker,Docker,Angular/Angular.js,Angular/Angular.js,Visual Studio,,,,
3037,C,C++,Microsoft SQL Server,Oracle,Google Cloud Platform,Google Cloud Platform,ASP.NET,ASP.NET,Visual Studio Code,,,,
3037,C++,C#,Oracle,Redis,Kubernetes,Kubernetes,Express,Express,,,,,
3037,C#,Go,Redis,SQLite,Linux,Linux,,Vue.js,,,,,
3037,HTML/CSS,HTML/CSS,SQLite,,Microsoft Azure,Microsoft Azure,,,,,,,
3037,Java,Java,,,Raspberry Pi,Raspberry Pi,,,,,,,
3037,JavaScript,JavaScript,,,Windows,Windows,,,,,,,
3037,PHP,SQL,,,WordPress,WordPress,,,,,,,
3037,Python,TypeScript,,,,,,,,,,,
3037,SQL,,,,,,,,,,,,
3037,VBA,,,,,,,,,,,,
3038,Bash/Shell/PowerShell,C++,Firebase,Microsoft SQL Server,Android,iOS,,React.js,Android Studio,,,,
3038,C,Kotlin,MariaDB,Oracle,AWS,,,Ruby on Rails,Eclipse,,,,
3038,HTML/CSS,Objective-C,MySQL,,Linux,,,Spring,Notepad++,,,,
3038,Java,Ruby,Redis,,Windows,,,,Visual Studio Code,,,,
3038,JavaScript,,SQLite,,,,,,,,,,
3038,SQL,,,,,,,,,,,,
3044,Bash/Shell/PowerShell,Go,DynamoDB,DynamoDB,Docker,Docker,Angular/Angular.js,,RubyMine,,,,
3044,HTML/CSS,,MySQL,Elasticsearch,Linux,Kubernetes,jQuery,,Sublime Text,,,,
3044,JavaScript,,PostgreSQL,,MacOS,Linux,Ruby on Rails,,,,,,
3044,Ruby,,Redis,,Raspberry Pi,,Vue.js,,,,,,
3044,,,,,Slack,,,,,,,,
3044,,,,,Windows,,,,,,,,
3045,HTML/CSS,HTML/CSS,Firebase,Firebase,Android,Android,jQuery,Angular/Angular.js,Android Studio,,,,
3045,Java,Java,MySQL,MySQL,iOS,iOS,React.js,React.js,Coda,,,,
3045,JavaScript,JavaScript,Oracle,Oracle,Slack,Slack,Spring,,IntelliJ,,,,
3045,Objective-C,Kotlin,SQLite,SQLite,WordPress,WordPress,,,Notepad++,,,,
3045,SQL,SQL,,,,,,,Visual Studio,,,,
3045,Swift,Swift,,,,,,,Xcode,,,,
3049,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Android,Android,React.js,React.js,Android Studio,,,,
3049,C,C++,PostgreSQL,PostgreSQL,Docker,Docker,,,Notepad++,,,,
3049,C++,C#,Redis,Redis,iOS,iOS,,,Vim,,,,
3049,C#,Go,SQLite,SQLite,Kubernetes,Kubernetes,,,Visual Studio,,,,
3049,JavaScript,JavaScript,,,Linux,Linux,,,Visual Studio Code,,,,
3049,PHP,,,,MacOS,MacOS,,,,,,,
3049,SQL,,,,Windows,Windows,,,,,,,
3052,Bash/Shell/PowerShell,Clojure,Cassandra,Other(s):,AWS,AWS,,,Emacs,,,,
3052,Clojure,,PostgreSQL,,Docker,Linux,,,,,,,
3052,HTML/CSS,,,,Linux,MacOS,,,,,,,
3052,Java,,,,MacOS,,,,,,,,
3052,JavaScript,,,,Slack,,,,,,,,
3054,C#,Dart,Microsoft SQL Server,Firebase,Linux,Android,Angular/Angular.js,Express,Notepad++,,,,
3054,HTML/CSS,Go,MySQL,MongoDB,Windows,AWS,ASP.NET,Laravel,Visual Studio,,,,
3054,Java,Kotlin,PostgreSQL,,WordPress,Docker,jQuery,React.js,Visual Studio Code,,,,
3054,JavaScript,Python,SQLite,,,Google Cloud Platform,,Vue.js,,,,,
3054,PHP,TypeScript,,,,Heroku,,,,,,,
3054,SQL,,,,,Slack,,,,,,,
3054,VBA,,,,,,,,,,,,
3056,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,MySQL,Google Cloud Platform,Android,jQuery,Angular/Angular.js,Atom,,,,
3056,HTML/CSS,JavaScript,,,iOS,Arduino,,ASP.NET,Visual Studio Code,,,,
3056,JavaScript,PHP,,,Linux,AWS,,jQuery,Xcode,,,,
3056,PHP,Python,,,MacOS,Google Cloud Platform,,React.js,,,,,
3056,Python,Ruby,,,,IBM Cloud or Watson,,Ruby on Rails,,,,,
3056,SQL,SQL,,,,iOS,,,,,,,
3056,Swift,Swift,,,,Linux,,,,,,,
3056,,WebAssembly,,,,MacOS,,,,,,,
3056,,,,,,Raspberry Pi,,,,,,,
3056,,,,,,Windows,,,,,,,
3057,C#,Bash/Shell/PowerShell,MongoDB,MongoDB,Docker,Docker,Angular/Angular.js,Angular/Angular.js,Sublime Text,,,,
3057,HTML/CSS,C#,Microsoft SQL Server,Microsoft SQL Server,Linux,Kubernetes,ASP.NET,ASP.NET,Visual Studio,,,,
3057,JavaScript,Go,,PostgreSQL,MacOS,Linux,,React.js,Visual Studio Code,,,,
3057,SQL,HTML/CSS,,Redis,Slack,MacOS,,Vue.js,,,,,
3057,TypeScript,JavaScript,,SQLite,Windows,Microsoft Azure,,,,,,,
3057,,SQL,,,,Slack,,,,,,,
3057,,TypeScript,,,,Windows,,,,,,,
3061,Bash/Shell/PowerShell,Elixir,Elasticsearch,DynamoDB,AWS,Arduino,Django,Angular/Angular.js,IntelliJ,,,,
3061,C#,Erlang,MySQL,Elasticsearch,Docker,AWS,Flask,Django,PyCharm,,,,
3061,HTML/CSS,Python,PostgreSQL,MySQL,Google Cloud Platform,Docker,jQuery,Flask,Vim,,,,
3061,JavaScript,TypeScript,Redis,PostgreSQL,Kubernetes,Google Cloud Platform,,Vue.js,Visual Studio,,,,
3061,Python,,SQLite,Redis,Linux,Kubernetes,,,Visual Studio Code,,,,
3061,,,,SQLite,MacOS,Linux,,,,,,,
3061,,,,,Slack,MacOS,,,,,,,
3061,,,,,Windows,Microsoft Azure,,,,,,,
3061,,,,,,Raspberry Pi,,,,,,,
3061,,,,,,Slack,,,,,,,
3061,,,,,,Windows,,,,,,,
3062,Bash/Shell/PowerShell,Kotlin,MySQL,MySQL,Android,Android,Spring,Spring,Android Studio,,,,
3062,Java,,,,Raspberry Pi,Raspberry Pi,,,IntelliJ,,,,
3062,Kotlin,,,,,,,,PyCharm,,,,
3062,Python,,,,,,,,Sublime Text,,,,
3063,Bash/Shell/PowerShell,HTML/CSS,PostgreSQL,Firebase,Linux,AWS,Ruby on Rails,React.js,Sublime Text,,,,
3063,HTML/CSS,JavaScript,Redis,PostgreSQL,MacOS,Linux,,Ruby on Rails,Xcode,,,,
3063,JavaScript,Ruby,,,,MacOS,,,,,,,
3063,Ruby,,,,,Raspberry Pi,,,,,,,
3063,,,,,,Slack,,,,,,,
3065,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,Cassandra,Arduino,Arduino,React.js,,Vim,,,,
3065,Go,Elixir,Oracle,Elasticsearch,Docker,Docker,,,,,,,
3065,HTML/CSS,Erlang,Redis,MariaDB,Google Cloud Platform,Google Cloud Platform,,,,,,,
3065,JavaScript,Go,,Redis,Linux,Kubernetes,,,,,,,
3065,SQL,JavaScript,,,MacOS,Linux,,,,,,,
3065,,Python,,,Raspberry Pi,Raspberry Pi,,,,,,,
3065,,Rust,,,Slack,,,,,,,,
3065,,Scala,,,,,,,,,,,
3065,,SQL,,,,,,,,,,,
3066,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Android,Microsoft Azure,ASP.NET,ASP.NET,Notepad++,,,,
3066,JavaScript,Python,Other(s):,Other(s):,Docker,,React.js,,Visual Studio,,,,
3066,Kotlin,,,,Microsoft Azure,,,,Visual Studio Code,,,,
3066,TypeScript,,,,,,,,,,,,
3067,C++,Objective-C,MongoDB,,Docker,Arduino,ASP.NET,Angular/Angular.js,Atom,,,,
3067,C#,Swift,Microsoft SQL Server,,MacOS,AWS,,,Notepad++,,,,
3067,HTML/CSS,,Oracle,,Microsoft Azure,,,,Visual Studio,,,,
3067,JavaScript,,,,Windows,,,,Xcode,,,,
3067,SQL,,,,,,,,,,,,
3067,TypeScript,,,,,,,,,,,,
3071,C,Clojure,MongoDB,MongoDB,Android,AWS,Angular/Angular.js,Express,Vim,,,,
3071,HTML/CSS,HTML/CSS,SQLite,PostgreSQL,Arduino,Docker,Express,React.js,,,,,
3071,Java,JavaScript,,,Heroku,Linux,Flask,,,,,,
3071,JavaScript,Python,,,Linux,MacOS,jQuery,,,,,,
3071,Python,TypeScript,,,MacOS,,React.js,,,,,,
3071,,WebAssembly,,,,,Vue.js,,,,,,
3076,JavaScript,,MongoDB,Firebase,AWS,Kubernetes,Express,Django,Android Studio,,,,
3076,Python,,,,Docker,,React.js,Flask,Sublime Text,,,,
3076,,,,,Linux,,Vue.js,,Visual Studio Code,,,,
3076,,,,,MacOS,,,,,,,,
3076,,,,,Slack,,,,,,,,
3077,Elixir,Elixir,Elasticsearch,Elasticsearch,AWS,AWS,Ruby on Rails,Vue.js,Atom,,,,
3077,HTML/CSS,TypeScript,MySQL,PostgreSQL,Docker,Docker,Vue.js,Other(s):,Visual Studio Code,,,,
3077,JavaScript,,PostgreSQL,Redis,Heroku,Linux,Other(s):,,,,,,
3077,Ruby,,Redis,,MacOS,Microsoft Azure,,,,,,,
3077,SQL,,SQLite,,,,,,,,,,
3078,C,C,MariaDB,Elasticsearch,Docker,Docker,,,Vim,,,,
3078,C++,C++,MySQL,MariaDB,Linux,Linux,,,,,,,
3078,,Rust,PostgreSQL,MySQL,Raspberry Pi,,,,,,,,
3078,,,Redis,PostgreSQL,,,,,,,,,
3078,,,SQLite,Redis,,,,,,,,,
3078,,,,SQLite,,,,,,,,,
3081,C#,Kotlin,Firebase,Firebase,Android,Android,Angular/Angular.js,,Android Studio,,,,
3081,HTML/CSS,,MongoDB,MongoDB,Docker,Raspberry Pi,React.js,,IntelliJ,,,,
3081,Java,,Microsoft SQL Server,MySQL,Google Cloud Platform,Slack,Spring,,Notepad++,,,,
3081,JavaScript,,MySQL,SQLite,iOS,,,,Sublime Text,,,,
3081,Kotlin,,Oracle,,Linux,,,,Xcode,,,,
3081,Objective-C,,SQLite,,MacOS,,,,,,,,
3081,SQL,,,,Raspberry Pi,,,,,,,,
3081,Swift,,,,Slack,,,,,,,,
3081,,,,,Windows,,,,,,,,
3086,Python,Python,Microsoft SQL Server,Microsoft SQL Server,Linux,AWS,,,IPython / Jupyter,,,,
3086,R,R,MySQL,MySQL,Raspberry Pi,Docker,,,Notepad++,,,,
3086,SQL,SQL,Oracle,PostgreSQL,Windows,Linux,,,PyCharm,,,,
3086,,,PostgreSQL,SQLite,,Raspberry Pi,,,RStudio,,,,
3086,,,SQLite,,,Windows,,,Visual Studio,,,,
3087,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Redis,Elasticsearch,Linux,Linux,Angular/Angular.js,Angular/Angular.js,IPython / Jupyter,,,,
3087,C,C,SQLite,Redis,,,Flask,Flask,Notepad++,,,,
3087,C++,C++,,,,,Vue.js,Vue.js,Vim,,,,
3087,HTML/CSS,Go,,,,,,,,,,,
3087,Java,HTML/CSS,,,,,,,,,,,
3087,JavaScript,JavaScript,,,,,,,,,,,
3087,PHP,PHP,,,,,,,,,,,
3087,Python,Python,,,,,,,,,,,
3087,,R,,,,,,,,,,,
3087,,WebAssembly,,,,,,,,,,,
3088,C#,C#,MongoDB,Elasticsearch,Microsoft Azure,Microsoft Azure,Angular/Angular.js,Angular/Angular.js,Visual Studio,,,,
3088,HTML/CSS,HTML/CSS,Microsoft SQL Server,MongoDB,Windows,Windows,ASP.NET,ASP.NET,Visual Studio Code,,,,
3088,JavaScript,JavaScript,Oracle,Microsoft SQL Server,,,,,,,,,
3088,SQL,SQL,,,,,,,,,,,
3088,,TypeScript,,,,,,,,,,,
3090,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Microsoft SQL Server,Docker,,,Django,Notepad++,,,,
3090,C#,C#,Microsoft SQL Server,MySQL,Microsoft Azure,,,Flask,PyCharm,,,,
3090,HTML/CSS,HTML/CSS,,SQLite,,,,React.js,Visual Studio,,,,
3090,Java,Python,,,,,,,Visual Studio Code,,,,
3090,JavaScript,SQL,,,,,,,,,,,
3090,PHP,,,,,,,,,,,,
3090,Python,,,,,,,,,,,,
3090,SQL,,,,,,,,,,,,
3091,Bash/Shell/PowerShell,Swift,PostgreSQL,MongoDB,Docker,Docker,Express,Express,Visual Studio Code,,,,
3091,JavaScript,TypeScript,SQLite,Redis,Linux,Kubernetes,Flask,React.js,,,,,
3091,PHP,WebAssembly,,Other(s):,MacOS,Linux,jQuery,,,,,,
3091,Python,,,,Slack,MacOS,React.js,,,,,,
3091,SQL,,,,,Slack,,,,,,,
3092,C++,Go,MariaDB,MariaDB,Heroku,Linux,Django,Django,Android Studio,,,,
3092,HTML/CSS,JavaScript,MongoDB,MySQL,Linux,Slack,Express,Express,Atom,,,,
3092,JavaScript,Python,MySQL,,Slack,WordPress,Laravel,Laravel,Notepad++,,,,
3092,PHP,Ruby,PostgreSQL,,Windows,,Ruby on Rails,React.js,PHPStorm,,,,
3092,Python,TypeScript,SQLite,,WordPress,,Vue.js,Ruby on Rails,PyCharm,,,,
3092,SQL,,,,,,,,Sublime Text,,,,
3092,TypeScript,,,,,,,,Visual Studio,,,,
3092,,,,,,,,,Visual Studio Code,,,,
3095,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Firebase,Couchbase,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio,,,,
3095,C++,C,MongoDB,MongoDB,Docker,Arduino,ASP.NET,ASP.NET,Visual Studio,,,,
3095,C#,C#,Microsoft SQL Server,Microsoft SQL Server,iOS,Docker,,Express,Visual Studio Code,,,,
3095,F#,F#,,PostgreSQL,Linux,Kubernetes,,Vue.js,,,,,
3095,HTML/CSS,Java,,Redis,Microsoft Azure,Linux,,,,,,,
3095,SQL,Python,,,Windows,Microsoft Azure,,,,,,,
3095,TypeScript,TypeScript,,,,Raspberry Pi,,,,,,,
3095,,,,,,Windows,,,,,,,
3096,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Windows,Windows,Angular/Angular.js,React.js,Visual Studio,,,,
3096,HTML/CSS,HTML/CSS,,,,,ASP.NET,,,,,,
3096,JavaScript,JavaScript,,,,,jQuery,,,,,,
3096,SQL,R,,,,,React.js,,,,,,
3096,TypeScript,SQL,,,,,,,,,,,
3096,,TypeScript,,,,,,,,,,,
3097,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,MariaDB,Google Cloud Platform,Google Cloud Platform,ASP.NET,ASP.NET,Notepad++,,,,
3097,C#,C#,MySQL,MongoDB,MacOS,MacOS,,,Sublime Text,,,,
3097,JavaScript,JavaScript,,Microsoft SQL Server,Raspberry Pi,Microsoft Azure,,,Visual Studio,,,,
3097,PHP,PHP,,MySQL,Windows,Raspberry Pi,,,,,,,
3097,SQL,Python,,PostgreSQL,WordPress,Windows,,,,,,,
3097,VBA,Scala,,SQLite,,WordPress,,,,,,,
3097,,SQL,,,,,,,,,,,
3097,,TypeScript,,,,,,,,,,,
3097,,VBA,,,,,,,,,,,
3100,Java,Python,PostgreSQL,PostgreSQL,AWS,AWS,Django,Django,IPython / Jupyter,,,,
3100,Python,SQL,,,,,Flask,Flask,,,,,
3100,SQL,,,,,,,,,,,,
3101,Assembly,C,Microsoft SQL Server,MongoDB,AWS,AWS,Angular/Angular.js,Angular/Angular.js,Notepad++,,,,
3101,C,C#,Oracle,Microsoft SQL Server,Microsoft Azure,Docker,ASP.NET,ASP.NET,Visual Studio,,,,
3101,C#,Objective-C,,Oracle,Windows,Microsoft Azure,jQuery,jQuery,Visual Studio Code,,,,
3101,HTML/CSS,TypeScript,,,,Windows,React.js,React.js,,,,,
3101,JavaScript,,,,,,,,,,,,
3101,SQL,,,,,,,,,,,,
3104,C,HTML/CSS,Elasticsearch,Elasticsearch,Android,Android,Angular/Angular.js,Express,Visual Studio Code,,,,
3104,HTML/CSS,JavaScript,MongoDB,MongoDB,AWS,AWS,Express,React.js,,,,,
3104,Java,Python,MySQL,,Docker,Docker,React.js,,,,,,
3104,JavaScript,Rust,,,Google Cloud Platform,Heroku,Spring,,,,,,
3104,Python,TypeScript,,,Heroku,iOS,,,,,,,
3104,TypeScript,WebAssembly,,,iOS,Kubernetes,,,,,,,
3104,,,,,Kubernetes,Linux,,,,,,,
3104,,,,,Linux,MacOS,,,,,,,
3104,,,,,MacOS,Raspberry Pi,,,,,,,
3104,,,,,Raspberry Pi,Slack,,,,,,,
3104,,,,,Slack,Windows,,,,,,,
3104,,,,,Windows,,,,,,,,
3105,C,C,Microsoft SQL Server,PostgreSQL,Android,iOS,Angular/Angular.js,,Android Studio,,,,
3105,C++,C++,MySQL,,iOS,Other(s):,Django,,Notepad++,,,,
3105,Java,Python,PostgreSQL,,MacOS,,Other(s):,,Vim,,,,
3105,Kotlin,Swift,,,Slack,,,,Visual Studio,,,,
3105,Objective-C,,,,Windows,,,,Xcode,,,,
3105,Python,,,,WordPress,,,,,,,,
3105,Swift,,,,Other(s):,,,,,,,,
3109,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Linux,AWS,,Django,IPython / Jupyter,,,,
3109,C,C,MariaDB,MariaDB,,Kubernetes,,Flask,PyCharm,,,,
3109,C++,C++,MySQL,MySQL,,Linux,,Vue.js,Sublime Text,,,,
3109,Go,Go,PostgreSQL,PostgreSQL,,Raspberry Pi,,,Vim,,,,
3109,HTML/CSS,HTML/CSS,Redis,Redis,,,,,,,,,
3109,Java,JavaScript,SQLite,SQLite,,,,,,,,,
3109,JavaScript,R,Other(s):,Other(s):,,,,,,,,,
3109,Python,,,,,,,,,,,,
3109,SQL,,,,,,,,,,,,
3111,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,Couchbase,Android,Arduino,Angular/Angular.js,,Atom,,,,
3111,HTML/CSS,HTML/CSS,PostgreSQL,Firebase,Arduino,Google Cloud Platform,jQuery,,Sublime Text,,,,
3111,JavaScript,JavaScript,,PostgreSQL,Linux,Linux,Laravel,,Vim,,,,
3111,PHP,Python,,,WordPress,,React.js,,,,,,
3111,Python,R,,,,,,,,,,,
3111,SQL,WebAssembly,,,,,,,,,,,
3116,Python,Dart,PostgreSQL,PostgreSQL,Android,Docker,Django,Django,Android Studio,,,,
3116,,Python,Redis,Redis,Docker,Kubernetes,Vue.js,Vue.js,Sublime Text,,,,
3116,,Rust,,SQLite,Linux,Linux,,,,,,,
3119,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Firebase,Firebase,Android,Android,React.js,React.js,Android Studio,,,,
3119,C#,C#,Microsoft SQL Server,Microsoft SQL Server,AWS,AWS,Ruby on Rails,Ruby on Rails,Eclipse,,,,
3119,HTML/CSS,HTML/CSS,MySQL,MySQL,Docker,Docker,,,Notepad++,,,,
3119,Java,Java,,,Google Cloud Platform,Google Cloud Platform,,,RubyMine,,,,
3119,JavaScript,JavaScript,,,Linux,Linux,,,Sublime Text,,,,
3119,Ruby,Ruby,,,Windows,Windows,,,Visual Studio,,,,
3119,,,,,,,,,Visual Studio Code,,,,
3120,Bash/Shell/PowerShell,C,Elasticsearch,Elasticsearch,AWS,AWS,Ruby on Rails,Ruby on Rails,Atom,,,,
3120,Clojure,HTML/CSS,Firebase,Firebase,Kubernetes,Docker,,,Light Table,,,,
3120,HTML/CSS,Java,MariaDB,MariaDB,Linux,Heroku,,,Vim,,,,
3120,Java,JavaScript,MongoDB,MongoDB,MacOS,Kubernetes,,,Visual Studio Code,,,,
3120,JavaScript,Python,Microsoft SQL Server,Microsoft SQL Server,Slack,Linux,,,,,,,
3120,Python,Ruby,MySQL,MySQL,,MacOS,,,,,,,
3120,Ruby,SQL,PostgreSQL,PostgreSQL,,Raspberry Pi,,,,,,,
3120,SQL,WebAssembly,Redis,Redis,,Slack,,,,,,,
3121,C,C#,Microsoft SQL Server,Microsoft SQL Server,Google Cloud Platform,AWS,Angular/Angular.js,Angular/Angular.js,Visual Studio,,,,
3121,C#,HTML/CSS,,,Heroku,Google Cloud Platform,ASP.NET,ASP.NET,Visual Studio Code,,,,
3121,HTML/CSS,Python,,,Microsoft Azure,Kubernetes,Flask,Vue.js,,,,,
3121,Python,R,,,Windows,Microsoft Azure,Vue.js,,,,,,
3121,R,SQL,,,,Windows,,,,,,,
3121,SQL,WebAssembly,,,,,,,,,,,
3121,WebAssembly,,,,,,,,,,,,
3122,C,Swift,Elasticsearch,MySQL,AWS,AWS,Express,Express,TextMate,,,,
3122,C++,TypeScript,MySQL,PostgreSQL,Docker,Docker,,React.js,Vim,,,,
3122,JavaScript,,PostgreSQL,Redis,iOS,iOS,,,Visual Studio Code,,,,
3122,Objective-C,,Redis,SQLite,Linux,Linux,,,Xcode,,,,
3122,Swift,,SQLite,,MacOS,MacOS,,,,,,,
3122,TypeScript,,,,Raspberry Pi,Raspberry Pi,,,,,,,
3122,,,,,Slack,Slack,,,,,,,
3125,C#,C#,Elasticsearch,Elasticsearch,Windows,Windows,ASP.NET,ASP.NET,Visual Studio,,,,
3126,HTML/CSS,Bash/Shell/PowerShell,PostgreSQL,Firebase,Docker,Android,Django,Django,Android Studio,,,,
3126,JavaScript,Clojure,Redis,PostgreSQL,,AWS,Flask,Flask,PyCharm,,,,
3126,Python,HTML/CSS,SQLite,Redis,,Docker,jQuery,jQuery,Vim,,,,
3126,,JavaScript,,SQLite,,Heroku,,React.js,,,,,
3126,,Python,,,,iOS,,Vue.js,,,,,
3126,,SQL,,,,Kubernetes,,,,,,,
3126,,,,,,Linux,,,,,,,
3126,,,,,,Raspberry Pi,,,,,,,
3126,,,,,,WordPress,,,,,,,
3132,HTML/CSS,HTML/CSS,,DynamoDB,,,Express,Express,Visual Studio Code,,,,
3132,JavaScript,JavaScript,,,,,React.js,React.js,,,,,
3132,,Python,,,,,,,,,,,
3133,Bash/Shell/PowerShell,Go,DynamoDB,DynamoDB,AWS,AWS,,,IntelliJ,,,,
3133,Go,Rust,SQLite,SQLite,Linux,Google Cloud Platform,,,Sublime Text,,,,
3133,HTML/CSS,,,,,Linux,,,Vim,,,,
